DecisionId,DecisionLevel,RecommendedSequence,DecisionArea,SystemOrRelationship,FilesOrScope,PlainEnglishQuestion,PlainEnglishContext,WhatApprovalAllows,WhatStaysBlockedIfNotApproved,RecommendedDefault,AnswerOptions,ExecutiveDecision,ExecutiveDecisionDetails,RiskIfApproved,RiskIfDeferred,AutomationSuitability,SuggestedGoalShape,CanRunAsOneGoal,RequiredApprovalSpecifics,VerificationNeeded,SourceAuditEvidence,GateRowIds,SourceRowCount,NotesForCoder
GATE-0071,GateRow,171,Region and map assumptions,Gardening<->Regions,Data/Scripts/Custom/OzThothStaticGump/Side Gumps/addplants.cs,"Do you approve changing region, map, travel, spawning, PvP, housing, vendor, or precedence behavior for Gardening<->Regions?","Region/map rules decide where behaviors are allowed and which system wins when areas overlap. Changing them can alter player movement, PvP safety, housing rules, spawns, vendors, or government behavior.",A focused source batch may change the named region/map interaction or precedence rule.,Current region/map behavior remains the policy; unrelated source fixes outside this behavior may still proceed.,Preserve current region/map behavior unless you want a named rule changed.,Approve specific behavior change | Preserve current policy | Request policy proposal | Reject change,,,"Can change where players can travel, fight, place housing, spawn mobs, use vendors, or trigger government/region effects.","Existing edge cases or awkward overlaps remain, but world rules stay predictable.",Automatable after approval if the intended precedence/interaction is explicit; one interaction per goal.,GATED-SOURCE-BATCH-REGION for this pair only.,"No, unless rows share one explicit region policy change.","Name the map/region behavior, intended winning rule, affected systems, and examples of allowed/blocked outcomes.",Region/hook/source scan; affected docs update if behavior changes; Server.csproj Debug/x86 build; compile-only runtime verification; git diff --check.,"docs/codebase-audit/outputs/post-batch-l-p2-residual-backlog-review.csv | PriorOverlayEvidence: CurrentFile=Data/Scripts/Custom/StaffTools/StaticGumpTool/Side Gumps/addplants.cs; Line=35; SourceLine=#region Plants; PathResolution=PostBatchHMove:Data/Scripts/Custom/OzThothStaticGump->Data/Scripts/Custom/StaffTools/StaticGumpTool; MatchQuality=CurrentSourceLine; FileExists=True; DisabledEvidence=False; ProjectTruth=RecordType=ProjectInclude;Included=True;Missing=False;Unincluded=False;Action=Keep | RecordType=SourceFile;Included=True;Missing=False;Unincluded=False;Action=Keep; RuntimeInventory=PrimaryRole=CommandSurface;SecondaryRoles=StartupWiring;GumpUI;StaffTooling;Commands=CommandSystem.Register(;Hooks=Initialize;SerializedTypes=;Gumps=OnResponse;SendGump || PriorNotes: HistoricalFile=Data/Scripts/Custom/OzThothStaticGump/Side Gumps/addplants.cs; Risk=Runtime;Policy;Gameplay; POST-BATCH-L is audit-only P2 residual triage. No source, project, XML/config, serialized layout, runtime file location, command name, access level, or region policy changed.",PBY-0071,1,GateOutcome=Preserve current region/map behavior.; GateScope=AcceptedFence. Preserve current behavior unless ExecutiveDecision explicitly approves crossing this fence.
GATE-0072,GateRow,172,Region and map assumptions,Government<->Regions,Data/Scripts/Custom/Government System/CityUpgradeSystem.cs,"Do you approve changing region, map, travel, spawning, PvP, housing, vendor, or precedence behavior for Government<->Regions?","Region/map rules decide where behaviors are allowed and which system wins when areas overlap. Changing them can alter player movement, PvP safety, housing rules, spawns, vendors, or government behavior.",A focused source batch may change the named region/map interaction or precedence rule.,Current region/map behavior remains the policy; unrelated source fixes outside this behavior may still proceed.,Preserve current region/map behavior unless you want a named rule changed.,Approve specific behavior change | Preserve current policy | Request policy proposal | Reject change,,,"Can change where players can travel, fight, place housing, spawn mobs, use vendors, or trigger government/region effects.","Existing edge cases or awkward overlaps remain, but world rules stay predictable.",Automatable after approval if the intended precedence/interaction is explicit; one interaction per goal.,GATED-SOURCE-BATCH-REGION for this pair only.,"No, unless rows share one explicit region policy change.","Name the map/region behavior, intended winning rule, affected systems, and examples of allowed/blocked outcomes.",Region/hook/source scan; affected docs update if behavior changes; Server.csproj Debug/x86 build; compile-only runtime verification; git diff --check.,"docs/codebase-audit/outputs/post-batch-l-p2-residual-backlog-review.csv | PriorOverlayEvidence: CurrentFile=Data/Scripts/Custom/Government System/CityUpgradeSystem.cs; Line=9; SourceLine=using Server.Regions;; PathResolution=OriginalPathCurrent; MatchQuality=CurrentSourceLine; FileExists=True; DisabledEvidence=False; ProjectTruth=RecordType=ProjectInclude;Included=True;Missing=False;Unincluded=False;Action=Keep | RecordType=SourceFile;Included=True;Missing=False;Unincluded=False;Action=Keep; RuntimeInventory=PrimaryRole=CommandSurface;SecondaryRoles=StartupWiring;Economy;Commands=CommandSystem.Register(;Hooks=Initialize;WorldSave;SerializedTypes=;Gumps= || PriorNotes: HistoricalFile=Data/Scripts/Custom/Government System/CityUpgradeSystem.cs; Risk=Runtime;Policy;Gameplay; POST-BATCH-L is audit-only P2 residual triage. No source, project, XML/config, serialized layout, runtime file location, command name, access level, or region policy changed.",PBY-0072,1,GateOutcome=Preserve current region/map behavior.; GateScope=AcceptedFence. Preserve current behavior unless ExecutiveDecision explicitly approves crossing this fence.
GATE-0073,GateRow,173,Region and map assumptions,Harvest System<->Regions,Data/Scripts/Items/Trades/Harvest Tools/BaseHarvestTool.cs,"Do you approve changing region, map, travel, spawning, PvP, housing, vendor, or precedence behavior for Harvest System<->Regions?","Region/map rules decide where behaviors are allowed and which system wins when areas overlap. Changing them can alter player movement, PvP safety, housing rules, spawns, vendors, or government behavior.",A focused source batch may change the named region/map interaction or precedence rule.,Current region/map behavior remains the policy; unrelated source fixes outside this behavior may still proceed.,Preserve current region/map behavior unless you want a named rule changed.,Approve specific behavior change | Preserve current policy | Request policy proposal | Reject change,,,"Can change where players can travel, fight, place housing, spawn mobs, use vendors, or trigger government/region effects.","Existing edge cases or awkward overlaps remain, but world rules stay predictable.",Automatable after approval if the intended precedence/interaction is explicit; one interaction per goal.,GATED-SOURCE-BATCH-REGION for this pair only.,"No, unless rows share one explicit region policy change.","Name the map/region behavior, intended winning rule, affected systems, and examples of allowed/blocked outcomes.",Region/hook/source scan; affected docs update if behavior changes; Server.csproj Debug/x86 build; compile-only runtime verification; git diff --check.,"docs/codebase-audit/outputs/post-batch-l-p2-residual-backlog-review.csv | PriorOverlayEvidence: CurrentFile=Data/Scripts/Items/Trades/Harvest Tools/BaseHarvestTool.cs; Line=256; SourceLine=#region ICraftable Members; PathResolution=OriginalPathCurrent; MatchQuality=CurrentSourceLine; FileExists=True; DisabledEvidence=False; ProjectTruth=RecordType=ProjectInclude;Included=True;Missing=False;Unincluded=False;Action=Keep | RecordType=SourceFile;Included=True;Missing=False;Unincluded=False;Action=Keep; RuntimeInventory=PrimaryRole=Persistence;SecondaryRoles=Crafting;ItemContent;Commands=;Hooks=;SerializedTypes=interface:IUsesRemaining;class:BaseHarvestTool;class:ToggleMiningStoneEntry;Gumps=; SerializationRegister=Class=Server.Items.BaseHarvestTool;Version=1;Handling=SwitchGotoCase;Alignment=AlignedByCountAndKnownTypes;MoveRisk=NamespaceOrTypeRenameDanger || PriorNotes: HistoricalFile=Data/Scripts/Items/Trades/Harvest Tools/BaseHarvestTool.cs; Risk=Runtime;Policy;Gameplay; POST-BATCH-L is audit-only P2 residual triage. No source, project, XML/config, serialized layout, runtime file location, command name, access level, or region policy changed.",PBY-0073,1,GateOutcome=Preserve current region/map behavior.; GateScope=AcceptedFence. Preserve current behavior unless ExecutiveDecision explicitly approves crossing this fence.
GATE-0074,GateRow,174,Region and map assumptions,Homestead<->Regions,Data/Scripts/Custom/OzThothStaticGump/Side Gumps/AddCooking.cs,"Do you approve changing region, map, travel, spawning, PvP, housing, vendor, or precedence behavior for Homestead<->Regions?","Region/map rules decide where behaviors are allowed and which system wins when areas overlap. Changing them can alter player movement, PvP safety, housing rules, spawns, vendors, or government behavior.",A focused source batch may change the named region/map interaction or precedence rule.,Current region/map behavior remains the policy; unrelated source fixes outside this behavior may still proceed.,Preserve current region/map behavior unless you want a named rule changed.,Approve specific behavior change | Preserve current policy | Request policy proposal | Reject change,,,"Can change where players can travel, fight, place housing, spawn mobs, use vendors, or trigger government/region effects.","Existing edge cases or awkward overlaps remain, but world rules stay predictable.",Automatable after approval if the intended precedence/interaction is explicit; one interaction per goal.,GATED-SOURCE-BATCH-REGION for this pair only.,"No, unless rows share one explicit region policy change.","Name the map/region behavior, intended winning rule, affected systems, and examples of allowed/blocked outcomes.",Region/hook/source scan; affected docs update if behavior changes; Server.csproj Debug/x86 build; compile-only runtime verification; git diff --check.,"docs/codebase-audit/outputs/post-batch-l-p2-residual-backlog-review.csv | PriorOverlayEvidence: CurrentFile=Data/Scripts/Custom/StaffTools/StaticGumpTool/Side Gumps/AddCooking.cs; Line=35; SourceLine=#region CookingStatics; PathResolution=PostBatchHMove:Data/Scripts/Custom/OzThothStaticGump->Data/Scripts/Custom/StaffTools/StaticGumpTool; MatchQuality=CurrentSourceLine; FileExists=True; DisabledEvidence=False; ProjectTruth=RecordType=ProjectInclude;Included=True;Missing=False;Unincluded=False;Action=Keep | RecordType=SourceFile;Included=True;Missing=False;Unincluded=False;Action=Keep; RuntimeInventory=PrimaryRole=CommandSurface;SecondaryRoles=StartupWiring;GumpUI;Crafting;StaffTooling;Commands=CommandSystem.Register(;Hooks=Initialize;SerializedTypes=;Gumps=OnResponse;SendGump || PriorNotes: HistoricalFile=Data/Scripts/Custom/OzThothStaticGump/Side Gumps/AddCooking.cs; Risk=Runtime;Policy;Gameplay; POST-BATCH-L is audit-only P2 residual triage. No source, project, XML/config, serialized layout, runtime file location, command name, access level, or region policy changed.",PBY-0074,1,GateOutcome=Preserve current region/map behavior.; GateScope=AcceptedFence. Preserve current behavior unless ExecutiveDecision explicitly approves crossing this fence.
GATE-0075,GateRow,175,Region and map assumptions,Housing<->Regions,Data/Scripts/Items/Houses/AdvertiserVendor.cs,"Do you approve changing region, map, travel, spawning, PvP, housing, vendor, or precedence behavior for Housing<->Regions?","Region/map rules decide where behaviors are allowed and which system wins when areas overlap. Changing them can alter player movement, PvP safety, housing rules, spawns, vendors, or government behavior.",A focused source batch may change the named region/map interaction or precedence rule.,Current region/map behavior remains the policy; unrelated source fixes outside this behavior may still proceed.,Preserve current region/map behavior unless you want a named rule changed.,Approve specific behavior change | Preserve current policy | Request policy proposal | Reject change,,,"Can change where players can travel, fight, place housing, spawn mobs, use vendors, or trigger government/region effects.","Existing edge cases or awkward overlaps remain, but world rules stay predictable.",Automatable after approval if the intended precedence/interaction is explicit; one interaction per goal.,GATED-SOURCE-BATCH-REGION for this pair only.,"No, unless rows share one explicit region policy change.","Name the map/region behavior, intended winning rule, affected systems, and examples of allowed/blocked outcomes.",Region/hook/source scan; affected docs update if behavior changes; Server.csproj Debug/x86 build; compile-only runtime verification; git diff --check.,"docs/codebase-audit/outputs/post-batch-l-p2-residual-backlog-review.csv | PriorOverlayEvidence: CurrentFile=Data/Scripts/Items/Houses/AdvertiserVendor.cs; Line=12; SourceLine=using Server.Regions;; PathResolution=OriginalPathCurrent; MatchQuality=CurrentSourceLine; FileExists=True; DisabledEvidence=False; ProjectTruth=RecordType=ProjectInclude;Included=True;Missing=False;Unincluded=False;Action=Keep | RecordType=SourceFile;Included=True;Missing=False;Unincluded=False;Action=Keep; RuntimeInventory=PrimaryRole=GumpUI;SecondaryRoles=Persistence;Economy;ItemContent;Commands=;Hooks=;SerializedTypes=class:AdvertiserVendor;class:FindPlayerVendorsGump;Gumps=OnResponse;SendGump; SerializationRegister=Class=Server.Items.AdvertiserVendor;Version=0;Handling=SingleVersionOnly;Alignment=AlignedByCountAndKnownTypes;MoveRisk=UnknownUntilSaveTest || PriorNotes: HistoricalFile=Data/Scripts/Items/Houses/AdvertiserVendor.cs; Risk=Runtime;Policy;Gameplay; POST-BATCH-L is audit-only P2 residual triage. No source, project, XML/config, serialized layout, runtime file location, command name, access level, or region policy changed.",PBY-0075,1,GateOutcome=Preserve current region/map behavior.; GateScope=AcceptedFence. Preserve current behavior unless ExecutiveDecision explicitly approves crossing this fence.
GATE-0076,GateRow,176,Region and map assumptions,Invasion<->Regions,Data/Scripts/Custom/Invasion System/Add Ins/BaseSpecialCreature.cs,"Do you approve changing region, map, travel, spawning, PvP, housing, vendor, or precedence behavior for Invasion<->Regions?","Region/map rules decide where behaviors are allowed and which system wins when areas overlap. Changing them can alter player movement, PvP safety, housing rules, spawns, vendors, or government behavior.",A focused source batch may change the named region/map interaction or precedence rule.,Current region/map behavior remains the policy; unrelated source fixes outside this behavior may still proceed.,Preserve current region/map behavior unless you want a named rule changed.,Approve specific behavior change | Preserve current policy | Request policy proposal | Reject change,,,"Can change where players can travel, fight, place housing, spawn mobs, use vendors, or trigger government/region effects.","Existing edge cases or awkward overlaps remain, but world rules stay predictable.",Automatable after approval if the intended precedence/interaction is explicit; one interaction per goal.,GATED-SOURCE-BATCH-REGION for this pair only.,"No, unless rows share one explicit region policy change.","Name the map/region behavior, intended winning rule, affected systems, and examples of allowed/blocked outcomes.",Region/hook/source scan; affected docs update if behavior changes; Server.csproj Debug/x86 build; compile-only runtime verification; git diff --check.,"docs/codebase-audit/outputs/post-batch-l-p2-residual-backlog-review.csv | PriorOverlayEvidence: CurrentFile=Data/Scripts/Custom/Invasion System/Add Ins/BaseSpecialCreature.cs; Line=498; SourceLine=#region Summoning; PathResolution=OriginalPathCurrent; MatchQuality=CurrentSourceLine; FileExists=True; DisabledEvidence=False; ProjectTruth=RecordType=ProjectInclude;Included=True;Missing=False;Unincluded=False;Action=Keep | RecordType=SourceFile;Included=True;Missing=False;Unincluded=False;Action=Keep; RuntimeInventory=PrimaryRole=StartupWiring;SecondaryRoles=Persistence;StaffTooling;Commands=;Hooks=CustomTimerSubclass;OnMovement;Timer.DelayCall;SerializedTypes=class:BaseSpecialCreature;class:InternalBleedTimer;class:TeleportTimer;Gumps=; SerializationRegister=Class=Server.Mobiles.BaseSpecialCreature;Version=Unknown;Handling=NoVersionFound;Alignment=AlignedByCountAndKnownTypes;MoveRisk=NamespaceOrTypeRenameDanger || PriorNotes: HistoricalFile=Data/Scripts/Custom/Invasion System/Add Ins/BaseSpecialCreature.cs; Risk=Runtime;Policy;Gameplay; POST-BATCH-L is audit-only P2 residual triage. No source, project, XML/config, serialized layout, runtime file location, command name, access level, o...",PBY-0076,1,GateOutcome=Preserve current region/map behavior.; GateScope=AcceptedFence. Preserve current behavior unless ExecutiveDecision explicitly approves crossing this fence.
GATE-0077,GateRow,177,Region and map assumptions,Magic Schools<->Regions,Data/Scripts/Magic/Bard/SongSpells.cs,"Do you approve changing region, map, travel, spawning, PvP, housing, vendor, or precedence behavior for Magic Schools<->Regions?","Region/map rules decide where behaviors are allowed and which system wins when areas overlap. Changing them can alter player movement, PvP safety, housing rules, spawns, vendors, or government behavior.",A focused source batch may change the named region/map interaction or precedence rule.,Current region/map behavior remains the policy; unrelated source fixes outside this behavior may still proceed.,Preserve current region/map behavior unless you want a named rule changed.,Approve specific behavior change | Preserve current policy | Request policy proposal | Reject change,,,"Can change where players can travel, fight, place housing, spawn mobs, use vendors, or trigger government/region effects.","Existing edge cases or awkward overlaps remain, but world rules stay predictable.",Automatable after approval if the intended precedence/interaction is explicit; one interaction per goal.,GATED-SOURCE-BATCH-REGION for this pair only.,"No, unless rows share one explicit region policy change.","Name the map/region behavior, intended winning rule, affected systems, and examples of allowed/blocked outcomes.",Region/hook/source scan; affected docs update if behavior changes; Server.csproj Debug/x86 build; compile-only runtime verification; git diff --check.,"docs/codebase-audit/outputs/post-batch-l-p2-residual-backlog-review.csv | PriorOverlayEvidence: CurrentFile=Data/Scripts/Magic/Bard/SongSpells.cs; Line=12; SourceLine=using Server.Regions;; PathResolution=OriginalPathCurrent; MatchQuality=CurrentSourceLine; FileExists=True; DisabledEvidence=False; ProjectTruth=RecordType=ProjectInclude;Included=True;Missing=False;Unincluded=False;Action=Keep | RecordType=SourceFile;Included=True;Missing=False;Unincluded=False;Action=Keep; RuntimeInventory=PrimaryRole=CombatPolicy;SecondaryRoles=;Commands=;Hooks=;SerializedTypes=;Gumps= || PriorNotes: HistoricalFile=Data/Scripts/Magic/Bard/SongSpells.cs; Risk=Runtime;Policy;Gameplay; POST-BATCH-L is audit-only P2 residual triage. No source, project, XML/config, serialized layout, runtime file location, command name, access level, or region policy changed.",PBY-0077,1,GateOutcome=Preserve current region/map behavior.; GateScope=AcceptedFence. Preserve current behavior unless ExecutiveDecision explicitly approves crossing this fence.
GATE-0078,GateRow,178,Region and map assumptions,Offline Skill Training<->Regions,Data/Scripts/Custom/Offline Skill Training/Items/StudyBook.cs,"Do you approve changing region, map, travel, spawning, PvP, housing, vendor, or precedence behavior for Offline Skill Training<->Regions?","Region/map rules decide where behaviors are allowed and which system wins when areas overlap. Changing them can alter player movement, PvP safety, housing rules, spawns, vendors, or government behavior.",A focused source batch may change the named region/map interaction or precedence rule.,Current region/map behavior remains the policy; unrelated source fixes outside this behavior may still proceed.,Preserve current region/map behavior unless you want a named rule changed.,Approve specific behavior change | Preserve current policy | Request policy proposal | Reject change,,,"Can change where players can travel, fight, place housing, spawn mobs, use vendors, or trigger government/region effects.","Existing edge cases or awkward overlaps remain, but world rules stay predictable.",Automatable after approval if the intended precedence/interaction is explicit; one interaction per goal.,GATED-SOURCE-BATCH-REGION for this pair only.,"No, unless rows share one explicit region policy change.","Name the map/region behavior, intended winning rule, affected systems, and examples of allowed/blocked outcomes.",Region/hook/source scan; affected docs update if behavior changes; Server.csproj Debug/x86 build; compile-only runtime verification; git diff --check.,"docs/codebase-audit/outputs/post-batch-l-p2-residual-backlog-review.csv | PriorOverlayEvidence: CurrentFile=Data/Scripts/Custom/Offline Skill Training/Items/StudyBook.cs; Line=7; SourceLine=using Server.Regions;; PathResolution=OriginalPathCurrent; MatchQuality=CurrentSourceLine; FileExists=True; DisabledEvidence=False; ProjectTruth=RecordType=ProjectInclude;Included=True;Missing=False;Unincluded=False;Action=Keep | RecordType=SourceFile;Included=True;Missing=False;Unincluded=False;Action=Keep; RuntimeInventory=PrimaryRole=StartupWiring;SecondaryRoles=Persistence;PlayerProgression;Commands=;Hooks=EventSink;Initialize;OnLogin;OnLogout;Timer.DelayCall;SerializedTypes=class:StudyBook;Gumps=; SerializationRegister=Class=Server.Items.StudyBook;Version=0;Handling=SingleVersionOnly;Alignment=AlignedByCountAndKnownTypes;MoveRisk=NamespaceOrTypeRenameDanger || PriorNotes: HistoricalFile=Data/Scripts/Custom/Offline Skill Training/Items/StudyBook.cs; Risk=Runtime;Policy;Gameplay; POST-BATCH-L is audit-only P2 residual triage. No source, project, XML/config, serialized layout, runtime file location, command name, access level, or region policy changed.",PBY-0078,1,GateOutcome=Preserve current region/map behavior.; GateScope=AcceptedFence. Preserve current behavior unless ExecutiveDecision explicitly approves crossing this fence.
GATE-0079,GateRow,179,Region and map assumptions,OmniAI<->Regions,Data/Scripts/Custom/OmniAI/OmniAI Bushido.cs,"Do you approve changing region, map, travel, spawning, PvP, housing, vendor, or precedence behavior for OmniAI<->Regions?","Region/map rules decide where behaviors are allowed and which system wins when areas overlap. Changing them can alter player movement, PvP safety, housing rules, spawns, vendors, or government behavior.",A focused source batch may change the named region/map interaction or precedence rule.,Current region/map behavior remains the policy; unrelated source fixes outside this behavior may still proceed.,Preserve current region/map behavior unless you want a named rule changed.,Approve specific behavior change | Preserve current policy | Request policy proposal | Reject change,,,"Can change where players can travel, fight, place housing, spawn mobs, use vendors, or trigger government/region effects.","Existing edge cases or awkward overlaps remain, but world rules stay predictable.",Automatable after approval if the intended precedence/interaction is explicit; one interaction per goal.,GATED-SOURCE-BATCH-REGION for this pair only.,"No, unless rows share one explicit region policy change.","Name the map/region behavior, intended winning rule, affected systems, and examples of allowed/blocked outcomes.",Region/hook/source scan; affected docs update if behavior changes; Server.csproj Debug/x86 build; compile-only runtime verification; git diff --check.,"docs/codebase-audit/outputs/post-batch-l-p2-residual-backlog-review.csv | PriorOverlayEvidence: CurrentFile=Data/Scripts/Custom/ThirdParty/OmniAI/OmniAI Bushido.cs; Line=10; SourceLine=using Server.Regions;; PathResolution=PostBatchHMove:Data/Scripts/Custom/OmniAI->Data/Scripts/Custom/ThirdParty/OmniAI; MatchQuality=CurrentSourceLine; FileExists=True; DisabledEvidence=False; ProjectTruth=RecordType=ProjectInclude;Included=True;Missing=False;Unincluded=False;Action=Keep | RecordType=SourceFile;Included=True;Missing=False;Unincluded=False;Action=Keep; RuntimeInventory=PrimaryRole=Unknown;SecondaryRoles=;Commands=;Hooks=;SerializedTypes=;Gumps= || PriorNotes: HistoricalFile=Data/Scripts/Custom/OmniAI/OmniAI Bushido.cs; Risk=Runtime;Policy;Gameplay; POST-BATCH-L is audit-only P2 residual triage. No source, project, XML/config, serialized layout, runtime file location, command name, access level, or region policy changed.",PBY-0079,1,GateOutcome=Preserve current region/map behavior.; GateScope=AcceptedFence. Preserve current behavior unless ExecutiveDecision explicitly approves crossing this fence.
GATE-0080,GateRow,180,Region and map assumptions,PvP Consent<->Regions,Data/Scripts/Custom/PvPConsent/Gumps/PKNONPKGUMP.cs,"Do you approve changing region, map, travel, spawning, PvP, housing, vendor, or precedence behavior for PvP Consent<->Regions?","Region/map rules decide where behaviors are allowed and which system wins when areas overlap. Changing them can alter player movement, PvP safety, housing rules, spawns, vendors, or government behavior.",A focused source batch may change the named region/map interaction or precedence rule.,Current region/map behavior remains the policy; unrelated source fixes outside this behavior may still proceed.,Preserve current region/map behavior unless you want a named rule changed.,Approve specific behavior change | Preserve current policy | Request policy proposal | Reject change,,,"Can change where players can travel, fight, place housing, spawn mobs, use vendors, or trigger government/region effects.","Existing edge cases or awkward overlaps remain, but world rules stay predictable.",Automatable after approval if the intended precedence/interaction is explicit; one interaction per goal.,GATED-SOURCE-BATCH-REGION for this pair only.,"No, unless rows share one explicit region policy change.","Name the map/region behavior, intended winning rule, affected systems, and examples of allowed/blocked outcomes.",Region/hook/source scan; affected docs update if behavior changes; Server.csproj Debug/x86 build; compile-only runtime verification; git diff --check.,"docs/codebase-audit/outputs/post-batch-l-p2-residual-backlog-review.csv | PriorOverlayEvidence: CurrentFile=Data/Scripts/Custom/PvPConsent/Gumps/PKNONPKGUMP.cs; Line=21; SourceLine=this.AddAlphaRegion(5, 5, 389, 289);; PathResolution=OriginalPathCurrent; MatchQuality=CurrentSourceLine; FileExists=True; DisabledEvidence=False; ProjectTruth=RecordType=ProjectInclude;Included=True;Missing=False;Unincluded=False;Action=Keep | RecordType=SourceFile;Included=True;Missing=False;Unincluded=False;Action=Keep; RuntimeInventory=PrimaryRole=CommandSurface;SecondaryRoles=StartupWiring;GumpUI;CombatPolicy;Commands=CommandSystem.Register(;Hooks=Initialize;SerializedTypes=;Gumps=OnResponse;SendGump || PriorNotes: HistoricalFile=Data/Scripts/Custom/PvPConsent/Gumps/PKNONPKGUMP.cs; Risk=Runtime;Policy;Gameplay; POST-BATCH-L is audit-only P2 residual triage. No source, project, XML/config, serialized layout, runtime file location, command name, access level, or region policy changed.",PBY-0080,1,GateOutcome=Preserve current region/map behavior.; GateScope=AcceptedFence. Preserve current behavior unless ExecutiveDecision explicitly approves crossing this fence.
GATE-0081,GateRow,181,Region and map assumptions,Random Encounters<->Regions,Data/Scripts/Custom/RandomEncounters/Definitions.cs,"Do you approve changing region, map, travel, spawning, PvP, housing, vendor, or precedence behavior for Random Encounters<->Regions?","Region/map rules decide where behaviors are allowed and which system wins when areas overlap. Changing them can alter player movement, PvP safety, housing rules, spawns, vendors, or government behavior.",A focused source batch may change the named region/map interaction or precedence rule.,Current region/map behavior remains the policy; unrelated source fixes outside this behavior may still proceed.,Preserve current region/map behavior unless you want a named rule changed.,Approve specific behavior change | Preserve current policy | Request policy proposal | Reject change,,,"Can change where players can travel, fight, place housing, spawn mobs, use vendors, or trigger government/region effects.","Existing edge cases or awkward overlaps remain, but world rules stay predictable.",Automatable after approval if the intended precedence/interaction is explicit; one interaction per goal.,GATED-SOURCE-BATCH-REGION for this pair only.,"No, unless rows share one explicit region policy change.","Name the map/region behavior, intended winning rule, affected systems, and examples of allowed/blocked outcomes.",Region/hook/source scan; affected docs update if behavior changes; Server.csproj Debug/x86 build; compile-only runtime verification; git diff --check.,"docs/codebase-audit/outputs/post-batch-l-p2-residual-backlog-review.csv | PriorOverlayEvidence: CurrentFile=Data/Scripts/Custom/PvE/RandomEncounters/Definitions.cs; Line=8; SourceLine=public enum RegionType; PathResolution=PostBatchHMove:Data/Scripts/Custom/RandomEncounters->Data/Scripts/Custom/PvE/RandomEncounters; MatchQuality=CurrentSourceLine; FileExists=True; DisabledEvidence=False; ProjectTruth=RecordType=ProjectInclude;Included=True;Missing=False;Unincluded=False;Action=Keep | RecordType=SourceFile;Included=True;Missing=False;Unincluded=False;Action=Keep; RuntimeInventory=PrimaryRole=WorldState;SecondaryRoles=;Commands=;Hooks=;SerializedTypes=;Gumps= || PriorNotes: HistoricalFile=Data/Scripts/Custom/RandomEncounters/Definitions.cs; Risk=Runtime;Policy;Gameplay; POST-BATCH-L is audit-only P2 residual triage. No source, project, XML/config, serialized layout, runtime file location, command name, access level, or region policy changed.",PBY-0081,1,GateOutcome=Preserve current region/map behavior.; GateScope=AcceptedFence. Preserve current behavior unless ExecutiveDecision explicitly approves crossing this fence.
GATE-0082,GateRow,182,Region and map assumptions,Regions<->Obsolete Scripts,Data/Scripts/Items/Magical/Artifacts/Obsolete/Obsolete_BootsofHermes.cs,"Do you approve changing region, map, travel, spawning, PvP, housing, vendor, or precedence behavior for Regions<->Obsolete Scripts?","Region/map rules decide where behaviors are allowed and which system wins when areas overlap. Changing them can alter player movement, PvP safety, housing rules, spawns, vendors, or government behavior.",A focused source batch may change the named region/map interaction or precedence rule.,Current region/map behavior remains the policy; unrelated source fixes outside this behavior may still proceed.,Preserve current region/map behavior unless you want a named rule changed.,Approve specific behavior change | Preserve current policy | Request policy proposal | Reject change,,,"Can change where players can travel, fight, place housing, spawn mobs, use vendors, or trigger government/region effects.","Existing edge cases or awkward overlaps remain, but world rules stay predictable.",Automatable after approval if the intended precedence/interaction is explicit; one interaction per goal.,GATED-SOURCE-BATCH-REGION for this pair only.,"No, unless rows share one explicit region policy change.","Name the map/region behavior, intended winning rule, affected systems, and examples of allowed/blocked outcomes.",Region/hook/source scan; affected docs update if behavior changes; Server.csproj Debug/x86 build; compile-only runtime verification; git diff --check.,"docs/codebase-audit/outputs/post-batch-l-p2-residual-backlog-review.csv | PriorOverlayEvidence: CurrentFile=Data/Scripts/Items/Magical/Artifacts/Obsolete/Obsolete_BootsofHermes.cs; Line=28; SourceLine=Server.Misc.MyServerSettings.NoMountsInCertainRegions(); PathResolution=OriginalPathCurrent; MatchQuality=CurrentSourceLine; FileExists=True; DisabledEvidence=False; ProjectTruth=RecordType=ProjectInclude;Included=True;Missing=False;Unincluded=False;Action=Keep | RecordType=SourceFile;Included=True;Missing=False;Unincluded=False;Action=Keep; RuntimeInventory=PrimaryRole=Persistence;SecondaryRoles=CombatPolicy;ItemContent;LegacyCompatibility;Commands=;Hooks=;SerializedTypes=class:BootsofHermes;Gumps=; SerializationRegister=Class=Server.Items.BootsofHermes;Version=0;Handling=SingleVersionOnly;Alignment=AlignedByCountAndKnownTypes;MoveRisk=NamespaceOrTypeRenameDanger || PriorNotes: HistoricalFile=Data/Scripts/Items/Magical/Artifacts/Obsolete/Obsolete_BootsofHermes.cs; Risk=Runtime;Policy;Gameplay; POST-BATCH-L is audit-only P2 residual triage. No source, project, XML/config, serialized layout, runtime file location, command name, access level, or region policy changed.",PBY-0082,1,GateOutcome=Preserve current region/map behavior.; GateScope=AcceptedFence. Preserve current behavior unless ExecutiveDecision explicitly approves crossing this fence.
