"RiskId","System","DocPath","Title","RiskReason","CanonicalPage","SourceTracePresent","StaleClaims","MissingSourceFiles","ExistingBacklogIds","GeneratedBacklogId","Recommendation","Evidence"
"DOC-RISK-0126","Unknown","docs/wiki/Technology_Items.md","Technology Items","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0093","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Technology_Items.md"
"DOC-RISK-0127","Unknown","docs/wiki/tell-a-friend.md","System Name: Tell A Friend Referral","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0094","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/tell-a-friend.md"
"DOC-RISK-0128","Unknown","docs/wiki/The_One_Ring.md","The One Ring","Missing source-backed claim or alias cleanup needed","Canonical","No","","","WIKI-0015","","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/The_One_Ring.md"
"DOC-RISK-0129","Unknown","docs/wiki/Trade_Guild_Enhancements.md","Trade Guild Enhancements","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0095","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Trade_Guild_Enhancements.md"
"DOC-RISK-0130","Vendor Core","docs/wiki/Vendor_Core_System.md","Vendor Core System","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0096","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Vendor_Core_System.md"
"DOC-RISK-0131","Unknown","docs/wiki/Voting_Rewards.md","System Name: Voting Rewards","Missing source-backed claim or alias cleanup needed","Canonical","No","","","WIKI-0015","","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Voting_Rewards.md"
"DOC-RISK-0132","Unknown","docs/wiki/voting-system.md","Legacy Slug: Voting Rewards","Alias or legacy slug has independent claims;Missing source-backed claim or alias cleanup needed","Alias","No","","","","DOC-0097","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/voting-system.md"
"DOC-RISK-0133","Unknown","docs/wiki/wikiautomationmemory.md","Wiki Automation Memory","Stale or Needs Rework marker present","Support","No","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.","","","DOC-0098","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/wikiautomationmemory.md"
"DOC-RISK-0134","Magic Schools","docs/wiki/wikibacklog.md","Wiki Backlog","Missing source-backed claim or alias cleanup needed;Stale or Needs Rework marker present","Support","No","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.","","","DOC-0099","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/wikibacklog.md"
"DOC-RISK-0135","Obsolete Scripts","docs/wiki/wikibacklog.md","Wiki Backlog","Missing source-backed claim or alias cleanup needed;Stale or Needs Rework marker present","Support","No","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.","","","DOC-0099","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/wikibacklog.md"
"DOC-RISK-0136","Regions","docs/wiki/wikibacklog.md","Wiki Backlog","Missing source-backed claim or alias cleanup needed;Stale or Needs Rework marker present","Support","No","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.","","","DOC-0099","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/wikibacklog.md"
"DOC-RISK-0137","Vendor Core","docs/wiki/wikibacklog.md","Wiki Backlog","Missing source-backed claim or alias cleanup needed;Stale or Needs Rework marker present","Support","No","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.","","","DOC-0099","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/wikibacklog.md"
"DOC-RISK-0138","Unknown","docs/wiki/wikihandoff.md","Wiki Automation Handoff","Stale or Needs Rework marker present","Support","No","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.","","","DOC-0100","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/wikihandoff.md"
"DOC-RISK-0139","Unknown","docs/wiki/Witchcraft.md","Witchcraft","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0101","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Witchcraft.md"
"DOC-RISK-0140","Unknown","docs/wiki/World_Basics_Commands.md","World Basics And Commands","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0102","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/World_Basics_Commands.md"
"DOC-RISK-0141","XMLSpawner","docs/wiki/XML_Spawner_Enhancements.md","XML Spawner Enhancements","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0103","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/XML_Spawner_Enhancements.md"
